ensembl_id	gene_name	chr	start	end	score	strand	frame	gene_type	transcript_id.s.	GC1|expected_count	GC2|expected_count	GC3|expected_count	MG1|expected_count	MG2|expected_count	MG3|expected_count	GC1|TPM	GC2|TPM	GC3|TPM	MG1|TPM	MG2|TPM	MG3|TPM	GC1|FPKM	GC2|FPKM	GC3|FPKM	MG1|FPKM	MG2|FPKM	MG3|FPKM
ENSMUSG00000001482.15	Def8	chr8	123423527	123463270	.	+	.	protein_coding	ENSMUST00000001522.9,ENSMUST00000065534.9,ENSMUST00000093049.9,ENSMUST00000108830.1,ENSMUST00000108832.7	185	190	175	109	178	197	4.75	4.76	3.88	4.1	5.71	7.5	9.81	9.49	8.81	5.75	8.47	9.94
ENSMUSG00000001493.9	Meox1	chr11	101877510	101894374	.	-	.	protein_coding	ENSMUST00000057054.7	139	390	256	126	186	98	5.16	14.15	8.21	6.67	8.65	4.58	10.66	28.2	18.65	9.37	12.82	6.06
ENSMUSG00000001494.6	Sost	chr11	101962458	101967015	.	-	.	protein_coding	ENSMUST00000001534.6	1	18	0	0	0	0	0.04	0.71	0	0	0	0	0.08	1.42	0	0	0	0
ENSMUSG00000001496.15	Nkx2-1	chr12	56531958	56536908	.	-	.	protein_coding	ENSMUST00000001536.8,ENSMUST00000178477.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001497.18	Pax9	chr12	56691767	56712822	.	+	.	protein_coding	ENSMUST00000001538.9,ENSMUST00000153250.8	0	6	1	1	4	0	0	0.11	0.02	0.03	0.1	0	0	0.22	0.04	0.04	0.14	0
ENSMUSG00000001504.10	Irx2	chr13	72628820	72634198	.	+	.	protein_coding	ENSMUST00000074372.5	0	0	2	0	0	3	0	0	0.05	0	0	0.12	0	0	0.12	0	0	0.16
ENSMUSG00000001506.10	Col1a1	chr11	94936224	94953042	.	+	.	protein_coding	ENSMUST00000001547.7	50925	315250	169794	12992	15723	13997	665.3	4021	1915.47	243.34	259.07	231.57	1375.05	8013.24	4350.83	341.88	384	306.6
ENSMUSG00000001507.16	Itga3	chr11	95044474	95076801	.	-	.	protein_coding	ENSMUST00000001548.13,ENSMUST00000107739.7,ENSMUST00000120375.7	223	61	54	349	265	349	3.58	0.96	0.75	8.04	5.37	7.13	7.41	1.91	1.7	11.29	7.96	9.44
ENSMUSG00000001508.15	Sgca	chr11	94962791	94976327	.	-	.	protein_coding	ENSMUST00000100551.10,ENSMUST00000103162.7,ENSMUST00000166320.7	314	1	431	346	529	488	17.47	0.06	21.31	28.01	37.14	34.4	36.11	0.12	48.41	39.35	55.05	45.55
ENSMUSG00000001510.8	Dlx3	chr11	95120119	95125296	.	+	.	protein_coding	ENSMUST00000092768.6	0	4	0	0	0	1	0	0.12	0	0	0	0.04	0	0.24	0	0	0	0.05
ENSMUSG00000001517.14	Foxm1	chr6	128362967	128376146	.	+	.	protein_coding	ENSMUST00000073316.12,ENSMUST00000112148.3	17	15	20	14	19	42	0.29	0.25	0.29	0.58	0.51	1.4	0.59	0.49	0.66	0.82	0.76	1.85
ENSMUSG00000001518.12	Itfg2	chr6	128409444	128424931	.	-	.	protein_coding	ENSMUST00000001559.10,ENSMUST00000142615.3,ENSMUST00000203374.2	48	104	123	118	132	104	1.65	4.3	3.7	5.85	5.78	4.92	3.42	8.57	8.41	8.22	8.56	6.51
ENSMUSG00000001520.12	Nrip2	chr6	128399296	128416427	.	+	.	protein_coding	ENSMUST00000001561.11,ENSMUST00000120405.3	64	16	4	6.85	17	27.35	2.85	0.7	0.21	0.43	1.1	1.53	5.9	1.39	0.47	0.61	1.63	2.03
ENSMUSG00000001521.12	Tulp3	chr6	128321161	128355851	.	-	.	protein_coding	ENSMUST00000001562.8,ENSMUST00000157005.2	104	248	130	69	113	83	2.72	6.37	3.05	2.7	4	2.89	5.63	12.7	6.93	3.8	5.93	3.82
ENSMUSG00000001524.14	Gtf2h4	chr17	35667730	35673739	.	-	.	protein_coding	ENSMUST00000001565.14,ENSMUST00000160734.7	31	93	56	73	133	109	1.58	4.64	2.47	5.3	8.48	7.17	3.27	9.26	5.62	7.44	12.56	9.5
ENSMUSG00000001525.10	Tubb5	chr17	35833921	35838306	.	-	.	protein_coding	ENSMUST00000001566.9	866	1493	778	1872	2447	2357	26.58	44.78	20.63	82.04	94.24	91.23	54.94	89.23	46.86	115.27	139.68	120.79
ENSMUSG00000001542.7	Ell2	chr13	75706757	75772364	.	+	.	protein_coding	ENSMUST00000001583.7,ENSMUST00000222194.1	95	148	107	122	143	188	1.7	3.46	3.4	3.13	3.23	4.26	3.52	6.89	7.73	4.4	4.78	5.64
ENSMUSG00000001552.14	Jup	chr11	100368958	100397763	.	-	.	protein_coding	ENSMUST00000001592.14,ENSMUST00000107403.1	735	611	858	646	710	752	22.39	17.26	22.52	27.66	27.21	28.3	46.27	34.4	51.16	38.85	40.34	37.47
ENSMUSG00000001555.10	Fkbp10	chr11	100415697	100424824	.	+	.	protein_coding	ENSMUST00000001595.9,ENSMUST00000107400.2	221	909	245	186	192	143	6.97	32.65	7.39	8.37	7.9	6.66	14.4	65.07	16.77	11.77	11.71	8.82
ENSMUSG00000001558.5	Klhl10	chr11	100441917	100457022	.	+	.	protein_coding	ENSMUST00000001599.3,ENSMUST00000107395.2	0	2	0	0	0	0	0	0.08	0	0	0	0	0	0.16	0	0	0	0
ENSMUSG00000001566.9	Mnx1	chr5	29473034	29478470	.	-	.	protein_coding	ENSMUST00000001608.7,ENSMUST00000165512.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001569.10	Nom1	chr5	29434664	29457843	.	+	.	protein_coding	ENSMUST00000001611.10	176	133	147	171	209	228	1.46	1.08	1.05	2.03	2.19	2.4	3.02	2.14	2.39	2.86	3.24	3.17
ENSMUSG00000001576.14	Ergic1	chr17	26561489	26656931	.	+	.	protein_coding	ENSMUST00000167662.7	240	576	383	447	547	478	7.06	16.56	9.74	18.79	20.2	17.74	14.59	33	22.11	26.39	29.94	23.49
ENSMUSG00000001583.13	Tnk1	chr11	69851005	69858730	.	-	.	protein_coding	ENSMUST00000001626.9,ENSMUST00000108626.7,ENSMUST00000108628.7	3	6	2	0	1	2	0.1	0.28	0.08	0	0.06	0.08	0.21	0.55	0.19	0	0.09	0.11
ENSMUSG00000001588.12	Acap1	chr11	69881567	69895539	.	-	.	protein_coding	ENSMUST00000001631.6	6	0	0	0	3	1	0.2	0	0	0	0.12	0.04	0.41	0	0	0	0.18	0.05
ENSMUSG00000001604.14	Tcea3	chr4	136247729	136274898	.	+	.	protein_coding	ENSMUST00000102533.10	433	105	427	256	385	368	31.27	7.42	26.67	26.15	34.47	33.19	64.63	14.79	60.58	36.74	51.09	43.94
ENSMUSG00000001622.15	Csn3	chr5	87925579	87932665	.	+	.	protein_coding	ENSMUST00000001667.12,ENSMUST00000113267.7,ENSMUST00000113271.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001627.12	Ifrd1	chr12	40201567	40248504	.	-	.	protein_coding	ENSMUST00000001672.11,ENSMUST00000165027.8	319	257	446	910	781	916	12.97	11.36	15.54	51.94	42.03	47.8	26.82	22.64	35.31	72.97	62.3	63.29
ENSMUSG00000001630.13	Stk38l	chr6	146724995	146778812	.	+	.	protein_coding	ENSMUST00000001675.13,ENSMUST00000111644.1	182.36	285.01	135	74.3	98	114.92	4.95	7.53	2.97	2.46	3.27	3.28	10.23	15	6.75	3.46	4.85	4.34
ENSMUSG00000001632.16	Brpf1	chr6	113307137	113324860	.	+	.	protein_coding	ENSMUST00000113117.3,ENSMUST00000113119.7,ENSMUST00000113121.7,ENSMUST00000113122.7,ENSMUST00000203577.1,ENSMUST00000204198.2,ENSMUST00000204626.2	186	323	250	234	255	268	3.11	5.34	3.7	5.65	5.41	5.98	6.44	10.64	8.4	7.94	8.02	7.92
ENSMUSG00000001642.18	Akr1b3	chr6	34302434	34317478	.	-	.	protein_coding	ENSMUST00000102980.10	385.14	197	433.77	425.39	533.08	461.22	24.58	12.3	23.94	38.47	42.27	36.83	50.8	24.52	54.37	54.05	62.66	48.76
ENSMUSG00000001655.6	Hoxc13	chr15	102921103	102928814	.	+	.	protein_coding	ENSMUST00000001700.6	2	0	6	1	1	1	0.07	0	0.17	0.05	0.04	0.04	0.14	0	0.39	0.07	0.06	0.06
ENSMUSG00000001656.3	Hoxc11	chr15	102954427	102957708	.	+	.	protein_coding	ENSMUST00000001701.3	44	47	58	59	75	86	1.82	1.9	2.07	3.48	3.88	4.48	3.76	3.79	4.71	4.89	5.75	5.93
ENSMUSG00000001657.7	Hoxc8	chr15	102990607	102994111	.	+	.	protein_coding	ENSMUST00000001703.7	3	25	14	5	8	8	0.14	1.11	0.55	0.32	0.45	0.45	0.28	2.2	1.24	0.45	0.67	0.6
ENSMUSG00000001661.5	Hoxc6	chr15	102998257	103011881	.	+	.	protein_coding	ENSMUST00000001711.5	18	39	10	20	21	4	0.99	2.09	0.47	1.55	1.43	0.27	2.04	4.16	1.07	2.18	2.12	0.36
ENSMUSG00000001663.10	Gstt1	chr10	75783813	75798584	.	-	.	protein_coding	ENSMUST00000001713.9,ENSMUST00000120177.7	107	145	61	28	35	30	9.72	12.87	4.78	3.59	3.93	3.37	20.09	25.66	10.86	5.05	5.83	4.46
ENSMUSG00000001665.11	Gstt3	chr10	75774115	75781414	.	-	.	protein_coding	ENSMUST00000001715.9,ENSMUST00000173537.1	77	65	40	14	19	10	3.46	4.06	3.02	0.89	1.5	0.56	7.14	8.09	6.86	1.26	2.22	0.75
ENSMUSG00000001666.8	Ddt	chr10	75771230	75773414	.	-	.	protein_coding	ENSMUST00000001716.7,ENSMUST00000172820.1	73	69	60	26	44	28	12.8	11.74	9	6.22	9.17	5.91	26.46	23.39	20.45	8.74	13.59	7.82
ENSMUSG00000001670.13	Tat	chr8	109990437	109999803	.	+	.	protein_coding	ENSMUST00000001720.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001672.14	Marveld3	chr8	109947914	109962203	.	-	.	protein_coding	ENSMUST00000001722.13,ENSMUST00000051430.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001674.11	Ddx18	chr1	121553835	121567989	.	-	.	protein_coding	ENSMUST00000001724.11	103.98	142.02	144.45	171.64	188.43	180.08	3.8	5.08	4.57	8.95	8.63	8.29	7.86	10.12	10.37	12.58	12.8	10.98
ENSMUSG00000001687.15	Ubl3	chr5	148504635	148552789	.	-	.	protein_coding	ENSMUST00000079324.13,ENSMUST00000164904.1,ENSMUST00000201595.3	495	545	525	586	691	764	18.05	19.38	16.44	30.9	31.63	36.05	37.3	38.62	37.33	43.42	46.89	47.74
ENSMUSG00000001700.9	Gramd3	chr18	56432132	56503792	.	+	.	protein_coding	ENSMUST00000070166.5	84	172	160	108	169	159	2.63	5.25	4.32	4.82	6.63	6.27	5.43	10.47	9.81	6.77	9.82	8.3
ENSMUSG00000001707.8	Eef1e1	chr13	38644207	38659058	.	-	.	protein_coding	ENSMUST00000001757.8	35	13	25	116	134	110	1.12	0.41	0.69	5.29	5.37	4.43	2.31	0.81	1.57	7.43	7.96	5.87
ENSMUSG00000001729.14	Akt1	chr12	112653821	112674884	.	-	.	protein_coding	ENSMUST00000001780.9,ENSMUST00000128300.8	709	1142	789	950	1202	1097	21.4	35.78	24.69	41.54	48.06	44.6	44.23	71.31	56.08	58.36	71.24	59.05
ENSMUSG00000001739.14	Cldn15	chr5	136966616	136975858	.	+	.	protein_coding	ENSMUST00000001790.5,ENSMUST00000111093.7	26	0	7	20	34	54	1.19	0	0.28	1.3	1.94	3.01	2.46	0	0.63	1.83	2.88	3.98
ENSMUSG00000001741.12	Il16	chr7	83642825	83745726	.	-	.	protein_coding	ENSMUST00000001792.11,ENSMUST00000145610.7	284	506	93	71	82	83	4.41	7.31	1.41	1.55	1.53	1.75	9.12	14.57	3.21	2.17	2.27	2.32
ENSMUSG00000001750.15	Tcirg1	chr19	3896050	3907133	.	-	.	protein_coding	ENSMUST00000001801.10,ENSMUST00000126070.8,ENSMUST00000145791.7	120	159	86	72	76	76	3.6	4.54	2.18	3.08	2.85	2.9	7.44	9.05	4.96	4.32	4.22	3.83
ENSMUSG00000001751.9	Naglu	chr11	101070012	101077672	.	+	.	protein_coding	ENSMUST00000001802.9	70	211	91	44	72	48	2.23	6.57	2.5	2	2.88	1.93	4.61	13.09	5.69	2.81	4.26	2.55
ENSMUSG00000001755.12	Coasy	chr11	101082565	101086619	.	+	.	protein_coding	ENSMUST00000001806.9,ENSMUST00000107308.3	110	75	114	70	120	111	4.21	2.72	3.63	3.79	5.56	5.08	8.71	5.41	8.24	5.33	8.24	6.72
ENSMUSG00000001761.7	Smo	chr6	29735503	29761365	.	+	.	protein_coding	ENSMUST00000001812.4	327	851	386	100	178	136	6.85	17.42	6.99	3	4.69	3.6	14.16	34.71	15.87	4.21	6.96	4.77
ENSMUSG00000001763.14	Tspan33	chr6	29694222	29718559	.	+	.	protein_coding	ENSMUST00000046750.13,ENSMUST00000115250.3	17	0	65	16	26	7	0.72	0	2.38	0.96	1.38	0.37	1.49	0	5.41	1.35	2.04	0.49
ENSMUSG00000001767.5	Crnkl1	chr2	145917479	145935014	.	-	.	protein_coding	ENSMUST00000001818.4	110	134	112	121	155	147	2.56	3.04	2.25	4.02	4.53	4.32	5.28	6.06	5.11	5.65	6.72	5.72
ENSMUSG00000001768.16	Rin2	chr2	145675215	145887616	.	+	.	protein_coding	ENSMUST00000094480.10,ENSMUST00000110005.7	422	1615	661	168	299	180	7.11	26.55	9.63	4.06	6.34	3.84	14.69	52.9	21.86	5.7	9.4	5.08
ENSMUSG00000001773.14	Folh1	chr7	86718977	86775943	.	-	.	protein_coding	ENSMUST00000001824.6,ENSMUST00000107271.9	3	0	0	1	0	0	0.08	0	0	0.05	0	0	0.16	0	0	0.07	0	0
ENSMUSG00000001774.8	Chordc1	chr9	18292125	18317442	.	+	.	protein_coding	ENSMUST00000001825.8,ENSMUST00000213605.1	107	64	77	223	211	242	6.12	1.05	1.16	15.21	14.5	8.28	12.64	2.1	2.64	21.37	21.5	10.97
ENSMUSG00000001783.3	Rtcb	chr10	85938637	85957823	.	-	.	protein_coding	ENSMUST00000001834.3	222	284	255	254	329	298	9.25	11.57	9.18	15.07	17.14	15.62	19.11	23.05	20.85	21.17	25.41	20.67
ENSMUSG00000001785.13	Pwp1	chr10	85829494	85889096	.	+	.	protein_coding	ENSMUST00000001836.10	66	58	77	185	147	156	2.09	1.8	2.11	8.37	5.84	6.23	4.32	3.58	4.79	11.76	8.66	8.25
ENSMUSG00000001786.14	Fbxo7	chr10	86021972	86051873	.	+	.	protein_coding	ENSMUST00000117597.1,ENSMUST00000120344.7,ENSMUST00000130320.7	75	196	43	49	62	52	2.03	5.31	0.99	2.13	3.18	2.54	4.2	10.58	2.25	3	4.72	3.36
ENSMUSG00000001794.13	Capns1	chr7	30186936	30198811	.	-	.	protein_coding	ENSMUST00000001845.12,ENSMUST00000108196.7,ENSMUST00000126116.2	736	1072	855	814	1234	1059	45.42	64.62	46.59	72.4	93.97	81.45	93.87	128.78	105.83	101.72	139.28	107.84
ENSMUSG00000001802.16	Lrp3	chr7	35200027	35215498	.	-	.	protein_coding	ENSMUST00000118444.2,ENSMUST00000122409.7	142	191	165	113	90	115	2.79	3.58	2.87	3.07	2.27	2.76	5.77	7.13	6.51	4.32	3.37	3.66
ENSMUSG00000001804.9	Dsg4	chr18	20436175	20471821	.	+	.	protein_coding	ENSMUST00000019426.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001815.15	Evx2	chr2	74652991	74659557	.	-	.	protein_coding	ENSMUST00000001867.12,ENSMUST00000173623.1	0	1	0	0	0	0	0	0.02	0	0	0	0	0	0.04	0	0	0	0
ENSMUSG00000001819.4	Hoxd13	chr2	74668310	74671599	.	+	.	protein_coding	ENSMUST00000001872.4	0	4	0	0	0	0	0	0.13	0	0	0	0	0	0.26	0	0	0	0
ENSMUSG00000001823.5	Hoxd12	chr2	74675013	74677705	.	+	.	protein_coding	ENSMUST00000001878.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001827.12	Folr1	chr7	101858331	101870788	.	-	.	protein_coding	ENSMUST00000106981.7,ENSMUST00000106982.7,ENSMUST00000106983.7,ENSMUST00000106985.7,ENSMUST00000106986.8	9	0	18	0	3	0	0.9	0	1.57	0	0.26	0	1.87	0	3.56	0	0.39	0
ENSMUSG00000001829.17	Clpb	chr7	101663633	101795506	.	+	.	protein_coding	ENSMUST00000001884.13,ENSMUST00000106998.7,ENSMUST00000209579.1	252	240	224	225	310	339	6.62	7.07	5.53	8.94	10.89	12.42	13.68	14.09	12.57	12.56	16.15	16.45
ENSMUSG00000001833.17	Sept7	chr9	25252439	25308571	.	+	.	protein_coding	ENSMUST00000115272.8,ENSMUST00000165594.3	426	538	437	409	436	479	13.83	17.07	12.26	18.95	17.7	19.61	28.59	34.02	27.85	26.63	26.24	25.96
ENSMUSG00000001844.10	Zdhhc4	chr5	143316489	143329256	.	-	.	protein_coding	ENSMUST00000001900.8,ENSMUST00000161915.7	85	76	50	41	68	54	5.53	5.07	2.81	3.78	5.53	4.4	11.44	10.1	6.39	5.31	8.19	5.82
ENSMUSG00000001847.14	Rac1	chr5	143503634	143528036	.	-	.	protein_coding	ENSMUST00000080537.13,ENSMUST00000100489.3	823	946	719	869	1119	1078	27.45	30.14	20.05	40.39	45.52	44.87	56.72	60.06	45.55	56.75	67.47	59.41
ENSMUSG00000001855.15	Nup214	chr2	31974436	32053975	.	+	.	protein_coding	ENSMUST00000065398.12	269	325	176	248	281	278	3.14	3.71	1.78	4.16	4.14	4.11	6.5	7.39	4.03	5.84	6.14	5.45
ENSMUSG00000001864.13	Aif1l	chr2	31950139	31973442	.	+	.	protein_coding	ENSMUST00000001920.12,ENSMUST00000148056.3	37	126	9	17	28	71	1.05	3.43	0.2	0.91	0.91	3.46	2.17	6.83	0.45	1.28	1.34	4.59
ENSMUSG00000001865.2	Cpa3	chr3	20215620	20242181	.	-	.	protein_coding	ENSMUST00000001921.2	22	57	8	7	13	3	1.33	3.38	0.42	0.6	0.98	0.23	2.76	6.74	0.95	0.85	1.45	0.3
ENSMUSG00000001870.16	Ltbp1	chr17	75005568	75392512	.	+	.	protein_coding	ENSMUST00000001927.11,ENSMUST00000112514.1,ENSMUST00000112516.7,ENSMUST00000234490.1	501	1791	619	212	327	246	6.48	24.47	7.27	4.12	5.57	3.84	13.4	48.76	16.51	5.79	8.26	5.09
ENSMUSG00000001891.16	Ugp2	chr11	21321138	21371201	.	-	.	protein_coding	ENSMUST00000060895.5,ENSMUST00000102875.10	1677	218	1878	4785	4657	4864	56.3	7.95	53.72	224.74	197.33	206.35	116.36	15.84	122.03	315.76	292.49	273.21
ENSMUSG00000001901.15	Kcnh6	chr11	106008124	106034549	.	+	.	protein_coding	ENSMUST00000001965.13,ENSMUST00000106903.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001909.16	Trmt1	chr8	84686307	84699808	.	+	.	protein_coding	ENSMUST00000001974.10,ENSMUST00000109767.8,ENSMUST00000109768.8,ENSMUST00000125370.9	166	148	133	223	253	215	6.38	5.64	4.54	12.53	12.43	10.55	13.19	11.23	10.32	17.61	18.42	13.96
ENSMUSG00000001910.4	Nacc1	chr8	84670483	84687862	.	-	.	protein_coding	ENSMUST00000001975.4	297	291	269	538	636.59	786.5	5.43	5.19	4.25	14.08	14.65	18.18	11.22	10.35	9.65	19.79	21.72	24.08
ENSMUSG00000001911.16	Nfix	chr8	84699876	84800344	.	-	.	protein_coding	ENSMUST00000076715.12,ENSMUST00000099070.9,ENSMUST00000109762.7,ENSMUST00000109764.7	2444	5023	4014	2507	2987	3398	62.5	114.96	88.95	93.33	92.25	110.17	129.18	229.1	202.03	131.13	136.73	145.87
ENSMUSG00000001918.17	Slc1a5	chr7	16781340	16798274	.	+	.	protein_coding	ENSMUST00000108496.8	2311	4503	1239	631	678	964	67.73	128.94	31.37	26.41	24.94	35.64	139.98	256.96	71.25	37.11	36.97	47.19
ENSMUSG00000001924.15	Uba1	chrX	20658326	20683179	.	+	.	protein_coding	ENSMUST00000001989.8,ENSMUST00000089217.10	937	1155	937	1293	1792	1676	18.15	21.86	15.69	35.86	43.71	41.07	37.52	43.57	35.63	50.38	64.79	54.38
ENSMUSG00000001930.17	Vwf	chr6	125546774	125686679	.	+	.	protein_coding	ENSMUST00000100941.8,ENSMUST00000112253.5,ENSMUST00000112254.7	3124	1051	856	218	676	319	29.06	9.17	6.53	2.71	7.58	3.5	60.06	18.28	14.84	3.81	11.23	4.64
ENSMUSG00000001942.8	Siae	chr9	37555698	37649655	.	+	.	protein_coding	ENSMUST00000002007.4,ENSMUST00000213126.1,ENSMUST00000215474.1	65	129	34	28	46	26	1.51	3.38	0.46	0.63	1.53	0.84	3.11	6.73	1.05	0.89	2.27	1.12
ENSMUSG00000001943.8	Vsig2	chr9	37539255	37544205	.	+	.	protein_coding	ENSMUST00000002008.6,ENSMUST00000215271.1,ENSMUST00000215957.1	17	17	19	3	1	12	1.34	1.4	1.29	0.33	0.14	1.65	2.76	2.79	2.94	0.47	0.21	2.18
ENSMUSG00000001946.14	Esam	chr9	37528078	37538319	.	+	.	protein_coding	ENSMUST00000002011.13	390	202	178	267	349	345	17.67	8.95	6.97	17.21	19.75	19.64	36.52	17.83	15.83	24.18	29.28	26.01
ENSMUSG00000001948.10	Spa17	chr9	37603290	37613722	.	-	.	protein_coding	ENSMUST00000002013.10	3	5	0	1	2	3	0.47	0.77	0	0.22	0.38	0.57	0.97	1.53	0	0.3	0.56	0.76
ENSMUSG00000001962.8	Fam50a	chrX	74313033	74320149	.	+	.	protein_coding	ENSMUST00000114160.1	114	99	87	107	133	136	7.3	6.2	4.82	9.71	10.58	10.9	15.09	12.36	10.94	13.64	15.69	14.43
ENSMUSG00000001964.14	Emd	chrX	74254687	74261548	.	+	.	protein_coding	ENSMUST00000002029.12,ENSMUST00000088313.4,ENSMUST00000096424.10,ENSMUST00000119197.7	92	104.55	63.4	167.94	152.88	169.5	4.98	6.34	2.99	13.26	10.63	11.56	10.3	12.63	6.79	18.62	15.75	15.3
ENSMUSG00000001983.7	Taco1	chr11	106066061	106073612	.	+	.	protein_coding	ENSMUST00000002048.7	78	16	120	119	199	199	4.99	1	6.65	10.8	15.83	15.94	10.32	2	15.09	15.17	23.47	21.11
ENSMUSG00000001985.9	Grik3	chr4	125490700	125714173	.	+	.	protein_coding	ENSMUST00000030676.7	69	7	8	5	7	6	0.59	0.06	0.06	0.06	0.08	0.06	1.22	0.12	0.13	0.09	0.11	0.09
ENSMUSG00000001986.16	Gria3	chrX	41400854	41678601	.	+	.	protein_coding	ENSMUST00000076349.11,ENSMUST00000115103.8,ENSMUST00000165288.1	112	219	49	30	26	28	2.41	5.84	0.92	0.96	0.54	0.66	4.98	11.63	2.1	1.34	0.8	0.87
ENSMUSG00000001988.9	Npas1	chr7	16455721	16477728	.	-	.	protein_coding	ENSMUST00000002053.8,ENSMUST00000210748.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001995.9	Sipa1l2	chr8	125418063	125569808	.	-	.	protein_coding	ENSMUST00000108775.1,ENSMUST00000212168.1,ENSMUST00000212987.1	430	286	420	269	315	267	5.04	3.27	4.25	4.51	4.66	3.96	10.43	6.52	9.65	6.34	6.9	5.25
ENSMUSG00000001998.15	Ap4e1	chr2	127008717	127067909	.	+	.	protein_coding	ENSMUST00000002063.14,ENSMUST00000110394.7	80	96	66	53	75	95	1.66	1.85	0.97	1.41	1.61	2.32	3.43	3.68	2.2	1.98	2.38	3.07
ENSMUSG00000001999.15	Blvra	chr2	127070665	127097084	.	+	.	protein_coding	ENSMUST00000002064.14,ENSMUST00000110389.9	56	65	13	53	56	55	4.43	5.04	0.95	5.93	5.49	5.43	9.17	10.04	2.15	8.33	8.13	7.19
ENSMUSG00000002006.12	Pdzd4	chrX	73793359	73824969	.	-	.	protein_coding	ENSMUST00000002080.11,ENSMUST00000114438.2	53	174	74	22	50	43	1.05	3.68	1.27	0.63	1.25	1.16	2.18	7.33	2.89	0.88	1.86	1.54
ENSMUSG00000002007.5	Srpk3	chrX	73774405	73778925	.	+	.	protein_coding	ENSMUST00000002081.5	70	0	104	182	184	222	2.96	0	3.8	10.97	9.74	11.82	6.12	0	8.64	15.41	14.43	15.64
ENSMUSG00000002010.17	Idh3g	chrX	73778963	73786897	.	-	.	protein_coding	ENSMUST00000052761.8	810	295	758	754	1034	987	54.29	19.35	43.94	71.57	86.04	82.72	112.21	38.57	99.81	100.55	127.54	109.52
ENSMUSG00000002012.13	Pnck	chrX	73655994	73660117	.	-	.	protein_coding	ENSMUST00000002087.13,ENSMUST00000114472.7,ENSMUST00000114473.7	12	1	10	7	3	3	0.7	0.06	0.51	0.58	0.22	0.22	1.45	0.11	1.15	0.82	0.32	0.29
ENSMUSG00000002014.12	Ssr4	chrX	73787028	73790830	.	+	.	protein_coding	ENSMUST00000002090.2,ENSMUST00000166518.7	109	210	132	142	236	189	13.97	26.41	14.88	25.8	36.89	30.52	28.87	52.63	33.81	36.25	54.68	40.41
ENSMUSG00000002015.5	Bcap31	chrX	73686178	73716175	.	-	.	protein_coding	ENSMUST00000002091.5	220	434	195	197	297	303	16.4	31.67	12.57	20.75	27.42	28.18	33.89	63.1	28.55	29.16	40.64	37.32
ENSMUSG00000002017.10	Fam98a	chr17	75537086	75551946	.	-	.	protein_coding	ENSMUST00000112507.3,ENSMUST00000234785.1	176	185	129	210	308	268	5.06	5.19	3.2	8.61	11.1	9.71	10.45	10.34	7.27	12.1	16.45	12.85
ENSMUSG00000002020.15	Ltbp2	chr12	84783212	84876532	.	-	.	protein_coding	ENSMUST00000002073.12,ENSMUST00000110254.8,ENSMUST00000163189.7	352	2634	535	113	139	116	4.01	29.4	5.44	1.85	2	1.67	8.29	58.6	12.36	2.59	2.96	2.22
ENSMUSG00000002028.13	Kmt2a	chr9	44803355	44881296	.	-	.	protein_coding	ENSMUST00000002095.10,ENSMUST00000114689.7	985	1690	950	714	701	715	4.53	7.58	3.77	4.71	4.07	4.17	9.35	15.1	8.56	6.62	6.04	5.52
ENSMUSG00000002031.12	Ift46	chr9	44767908	44793447	.	+	.	protein_coding	ENSMUST00000002099.10,ENSMUST00000118186.1	101	216	35	46	74	52	5.63	10.77	1.71	2.89	4.55	3.31	11.64	21.46	3.88	4.06	6.75	4.39
ENSMUSG00000002032.17	Tmem25	chr9	44793769	44799307	.	-	.	protein_coding	ENSMUST00000002100.7,ENSMUST00000114705.8	30	3	57	10	28	33	0.98	0.1	1.59	0.48	1.15	1.39	2.03	0.2	3.62	0.67	1.71	1.84
ENSMUSG00000002033.14	Cd3g	chr9	44969572	44980431	.	-	.	protein_coding	ENSMUST00000002101.11	0	0	0	0	1	0	0	0	0	0	0.11	0	0	0	0	0	0.17	0
ENSMUSG00000002043.17	Trappc6a	chr7	19508395	19516145	.	+	.	protein_coding	ENSMUST00000002112.14,ENSMUST00000108455.7	22	62	19	17	12	11	2.89	8	2.17	3.31	2.1	1.8	5.98	15.95	4.92	4.65	3.11	2.38
ENSMUSG00000002052.6	Supt6	chr11	78206746	78245987	.	-	.	protein_coding	ENSMUST00000002121.4	552	676	539	568	648	598	6.57	7.85	5.54	9.69	9.73	9.02	13.58	15.65	12.58	13.62	14.42	11.94
